RX Date/Time,Mask Temp(field 1),Room Temp(field 2),Delta(field 3),Tank Temp(field 4)
2022/07/15/ 15:24:57::825,Temp Test,11.5,21.8125,0.5,10.3125
2022/07/15/ 15:25:02::890,Temp Test,11.5625,21.8125,0.5625,10.25
2022/07/15/ 15:25:07::954,Temp Test,11.5625,21.8125,0.5,10.25
2022/07/15/ 15:25:13::019,Temp Test,11.5625,21.8125,0.5,10.25
2022/07/15/ 15:25:18::083,Temp Test,11.5625,21.8125,0.5,10.25
2022/07/15/ 15:25:23::147,Temp Test,11.5,21.8125,0.5,10.3125
2022/07/15/ 15:25:28::211,Temp Test,11.5,21.8125,0.5,10.3125
2022/07/15/ 15:25:33::275,Temp Test,11.5,21.8125,0.5,10.3125
2022/07/15/ 15:25:38::340,Temp Test,11.5,21.8125,0.5,10.3125
2022/07/15/ 15:25:43::404,Temp Test,11.5,21.8125,0.5625,10.3125
2022/07/15/ 15:25:48::468,Temp Test,11.5,21.8125,0.5,10.3125
2022/07/15/ 15:25:53::532,Temp Test,11.5,21.8125,0.5,10.3125
2022/07/15/ 15:25:58::596,Temp Test,11.4375,21.8125,0.5,10.375
2022/07/15/ 15:26:03::660,Temp Test,11.4375,21.8125,0.5,10.375
2022/07/15/ 15:26:08::723,Temp Test,11.4375,21.8125,0.5,10.375
2022/07/15/ 15:26:13::789,Temp Test,11.4375,21.8125,0.5,10.375
2022/07/15/ 15:26:18::852,Temp Test,11.4375,21.8125,0.5625,10.375
2022/07/15/ 15:26:23::919,Temp Test,11.4375,21.75,0.5,10.3125
2022/07/15/ 15:26:28::980,Temp Test,11.375,21.75,0.5,10.375
2022/07/15/ 15:26:34::044,Temp Test,11.4375,21.8125,0.5,10.375
2022/07/15/ 15:26:39::108,Temp Test,11.375,21.75,0.5,10.375
2022/07/15/ 15:26:44::172,Temp Test,11.4375,21.8125,0.5625,10.375
2022/07/15/ 15:26:49::238,Temp Test,11.375,21.8125,0.5,10.4375
2022/07/15/ 15:26:54::302,Temp Test,11.375,21.8125,0.5,10.4375
2022/07/15/ 15:26:59::366,Temp Test,11.375,21.8125,0.5,10.4375
2022/07/15/ 15:27:04::430,Temp Test,11.375,21.75,0.5,10.375
2022/07/15/ 15:27:09::494,Temp Test,11.375,21.8125,0.5,10.4375
2022/07/15/ 15:27:14::560,Temp Test,11.375,21.75,0.5,10.375
2022/07/15/ 15:27:19::624,Temp Test,11.375,21.8125,0.5,10.4375
2022/07/15/ 15:27:24::688,Temp Test,11.375,21.8125,0.5,10.4375
2022/07/15/ 15:27:29::753,Temp Test,11.3125,21.8125,0.5,10.5
2022/07/15/ 15:27:34::817,Temp Test,11.3125,21.75,0.5,10.4375
2022/07/15/ 15:27:39::881,Temp Test,11.3125,21.75,0.5,10.4375
2022/07/15/ 15:27:44::945,Temp Test,11.3125,21.75,0.5,10.4375
2022/07/15/ 15:27:50::009,Temp Test,11.3125,21.75,0.5625,10.4375
2022/07/15/ 15:27:55::073,Temp Test,11.3125,21.75,0.5625,10.4375
2022/07/15/ 15:28:00::137,Temp Test,11.3125,21.75,0.5,10.4375
2022/07/15/ 15:28:05::200,Temp Test,11.3125,21.75,0.5,10.4375
2022/07/15/ 15:28:10::265,Temp Test,11.25,21.75,0.5,10.5
2022/07/15/ 15:28:15::330,Temp Test,11.3125,21.75,0.5625,10.4375
2022/07/15/ 15:28:20::393,Temp Test,11.25,21.75,0.5,10.5
2022/07/15/ 15:28:25::458,Temp Test,11.25,21.75,0.5625,10.5
2022/07/15/ 15:28:30::522,Temp Test,11.25,21.75,0.5,10.5
2022/07/15/ 15:28:35::586,Temp Test,11.25,21.75,0.5,10.5
2022/07/15/ 15:28:40::650,Temp Test,11.25,21.75,0.5625,10.5
2022/07/15/ 15:28:45::714,Temp Test,11.25,21.75,0.5,10.5
2022/07/15/ 15:28:50::779,Temp Test,11.25,21.75,0.5,10.5
2022/07/15/ 15:28:55::843,Temp Test,11.25,21.75,0.5,10.5
2022/07/15/ 15:29:00::907,Temp Test,11.25,21.8125,0.5,10.5625
2022/07/15/ 15:29:05::970,Temp Test,11.25,21.75,0.5,10.5
2022/07/15/ 15:29:11::034,Temp Test,11.25,21.75,0.5,10.5
2022/07/15/ 15:29:16::098,Temp Test,11.25,21.75,0.5,10.5
2022/07/15/ 15:29:21::162,Temp Test,11.25,21.75,0.5625,10.5
2022/07/15/ 15:29:26::226,Temp Test,11.25,21.75,0.5625,10.5
2022/07/15/ 15:29:31::292,Temp Test,11.1875,21.75,0.5625,10.5625
2022/07/15/ 15:29:36::356,Temp Test,11.1875,21.75,0.4375,10.5625
2022/07/15/ 15:29:41::419,Temp Test,11.1875,21.75,0.5,10.5625
2022/07/15/ 15:29:46::484,Temp Test,11.1875,21.75,0.5625,10.5625
2022/07/15/ 15:29:51::547,Temp Test,11.1875,21.75,0.5,10.5625
2022/07/15/ 15:29:56::612,Temp Test,11.1875,21.75,0.5625,10.5625
2022/07/15/ 15:30:01::677,Temp Test,11.1875,21.75,0.5,10.5625
2022/07/15/ 15:30:06::741,Temp Test,11.1875,21.75,0.5625,10.5625
2022/07/15/ 15:30:11::806,Temp Test,11.1875,21.75,0.5,10.5625
2022/07/15/ 15:30:16::870,Temp Test,11.1875,21.75,0.5625,10.5625
2022/07/15/ 15:30:21::933,Temp Test,11.1875,21.75,0.5,10.5625
2022/07/15/ 15:30:26::997,Temp Test,11.1875,21.75,0.5625,10.5625
2022/07/15/ 15:30:32::061,Temp Test,11.1875,21.75,0.5,10.5625
2022/07/15/ 15:30:37::135,Temp Test,11.1875,21.75,0.5625,10.5625
2022/07/15/ 15:30:42::189,Temp Test,11.1875,21.6875,0.5625,10.5
2022/07/15/ 15:30:47::253,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:30:52::318,Temp Test,11.1875,21.6875,0.5,10.5
2022/07/15/ 15:30:57::382,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:31:02::446,Temp Test,11.1875,21.6875,0.5,10.5
2022/07/15/ 15:31:07::510,Temp Test,11.1875,21.6875,0.5,10.5
2022/07/15/ 15:31:12::574,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:31:17::638,Temp Test,11.1875,21.6875,0.5,10.5
2022/07/15/ 15:31:22::702,Temp Test,11.1875,21.75,0.5,10.5625
2022/07/15/ 15:31:27::766,Temp Test,11.1875,21.75,0.5,10.5625
2022/07/15/ 15:31:32::831,Temp Test,11.1875,21.6875,0.4375,10.5
2022/07/15/ 15:31:37::897,Temp Test,11.1875,21.6875,0.5,10.5
2022/07/15/ 15:31:42::961,Temp Test,11.125,21.6875,0.4375,10.5625
2022/07/15/ 15:31:48::025,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:31:53::089,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:31:58::153,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:32:03::218,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:32:08::281,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:32:13::345,Temp Test,11.125,21.75,0.4375,10.625
2022/07/15/ 15:32:18::410,Temp Test,11.125,21.6875,0.4375,10.5625
2022/07/15/ 15:32:23::474,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:32:28::537,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:32:33::602,Temp Test,11.125,21.75,0.4375,10.625
2022/07/15/ 15:32:38::666,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:32:43::730,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:32:48::794,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:32:53::857,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:32:58::923,Temp Test,11.125,21.75,0.4375,10.625
2022/07/15/ 15:33:03::986,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:33:09::050,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:33:14::133,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:33:19::179,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:33:24::243,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:33:29::308,Temp Test,11.125,21.75,0.4375,10.625
2022/07/15/ 15:33:34::371,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:33:39::435,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:33:44::500,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:33:49::563,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:33:54::628,Temp Test,11.125,21.75,0.4375,10.625
2022/07/15/ 15:33:59::691,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:34:04::755,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:34:09::819,Temp Test,11.125,21.75,0.4375,10.625
2022/07/15/ 15:34:14::883,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:34:19::947,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:34:25::011,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:34:30::077,Temp Test,11.125,21.75,0.5625,10.625
2022/07/15/ 15:34:35::140,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:34:40::204,Temp Test,11.125,21.8125,0.5625,10.6875
2022/07/15/ 15:34:45::268,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:34:50::333,Temp Test,11.125,21.75,0.5625,10.625
2022/07/15/ 15:34:55::397,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:35:00::461,Temp Test,11.125,21.75,0.5625,10.625
2022/07/15/ 15:35:05::525,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:35:10::590,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:35:15::654,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:35:20::718,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:35:25::782,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:35:30::845,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:35:35::910,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:35:40::974,Temp Test,11.125,21.75,0.5625,10.625
2022/07/15/ 15:35:46::038,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:35:51::102,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:35:56::167,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:36:01::231,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:36:06::296,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:36:11::359,Temp Test,11.0625,21.75,0.5,10.6875
2022/07/15/ 15:36:16::424,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:36:21::489,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:36:26::553,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:36:31::618,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:36:36::680,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:36:41::746,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:36:46::810,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:36:51::873,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:36:56::937,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:37:02::001,Temp Test,11.0625,21.625,0.5625,10.5625
2022/07/15/ 15:37:07::065,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:37:12::136,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:37:17::192,Temp Test,11.0625,21.6875,0.5,10.625
2022/07/15/ 15:37:22::256,Temp Test,11.0625,21.6875,0.5,10.625
2022/07/15/ 15:37:27::321,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:37:32::386,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:37:37::450,Temp Test,11.0625,21.625,0.5,10.5625
2022/07/15/ 15:37:42::514,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:37:47::578,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:37:52::641,Temp Test,11.125,21.6875,0.5,10.5625
2022/07/15/ 15:37:57::707,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:38:02::771,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:38:07::835,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:38:12::900,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:38:17::963,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:38:23::027,Temp Test,11.0625,21.75,0.625,10.6875
2022/07/15/ 15:38:28::091,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:38:33::155,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:38:38::219,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:38:43::283,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:38:48::347,Temp Test,11.0625,21.75,0.5625,10.6875
2022/07/15/ 15:38:53::412,Temp Test,11.0625,21.75,0.625,10.6875
2022/07/15/ 15:38:58::476,Temp Test,11.0625,21.75,0.625,10.6875
2022/07/15/ 15:39:03::540,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:39:08::603,Temp Test,11.0625,21.75,0.625,10.6875
2022/07/15/ 15:39:13::667,Temp Test,11.125,21.75,0.5625,10.625
2022/07/15/ 15:39:18::731,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:39:23::795,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:39:28::860,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:39:33::924,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:39:38::989,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:39:44::053,Temp Test,11.0625,21.6875,0.6875,10.625
2022/07/15/ 15:39:49::133,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:39:54::181,Temp Test,11.0625,21.6875,0.6875,10.625
2022/07/15/ 15:39:59::244,Temp Test,11.0625,21.75,0.625,10.6875
2022/07/15/ 15:40:04::308,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:40:09::372,Temp Test,11.125,21.75,0.625,10.625
2022/07/15/ 15:40:14::436,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:40:19::500,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:40:24::564,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:40:29::629,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:40:34::693,Temp Test,11.0625,21.6875,0.6875,10.625
2022/07/15/ 15:40:39::756,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:40:44::820,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:40:49::884,Temp Test,11.0625,21.75,0.625,10.6875
2022/07/15/ 15:40:54::948,Temp Test,11.0625,21.75,0.625,10.6875
2022/07/15/ 15:41:00::014,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:41:05::077,Temp Test,11.0625,21.75,0.625,10.6875
2022/07/15/ 15:41:10::142,Temp Test,11.0625,21.6875,0.6875,10.625
2022/07/15/ 15:41:15::206,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:41:20::270,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:41:25::334,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:41:30::398,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:41:35::462,Temp Test,11.125,21.6875,0.6875,10.5625
2022/07/15/ 15:41:40::525,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:41:45::589,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:41:50::653,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:41:55::719,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:42:00::781,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:42:05::846,Temp Test,11.125,21.75,0.5625,10.625
2022/07/15/ 15:42:10::909,Temp Test,11.125,21.75,0.5625,10.625
2022/07/15/ 15:42:15::974,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:42:21::037,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:42:26::102,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:42:31::167,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:42:36::230,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:42:41::295,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:42:46::358,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:42:51::423,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:42:56::487,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:43:01::551,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:43:06::615,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:43:11::679,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:43:16::743,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:43:21::806,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:43:26::870,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:43:31::934,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:43:36::999,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:43:42::063,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:43:47::130,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:43:52::191,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:43:57::255,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:44:02::320,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:44:07::385,Temp Test,11.125,21.6875,0.5625,10.5625
2022/07/15/ 15:44:12::448,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:44:17::512,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:44:22::576,Temp Test,11.125,21.75,0.5625,10.625
2022/07/15/ 15:44:27::640,Temp Test,11.125,21.75,0.625,10.625
2022/07/15/ 15:44:32::705,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:44:37::768,Temp Test,11.0625,21.75,0.625,10.6875
2022/07/15/ 15:44:42::832,Temp Test,11.125,21.75,0.5625,10.625
2022/07/15/ 15:44:47::896,Temp Test,11.0625,21.75,0.625,10.6875
2022/07/15/ 15:44:52::960,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:44:58::024,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:45:03::088,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:45:08::153,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:45:13::217,Temp Test,11.0625,21.75,0.625,10.6875
2022/07/15/ 15:45:18::281,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:45:23::345,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:45:28::409,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:45:33::474,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:45:38::538,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:45:43::602,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:45:48::665,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:45:53::730,Temp Test,11.0,21.6875,0.625,10.6875
2022/07/15/ 15:45:58::794,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:46:03::857,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:46:08::921,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:46:13::985,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:46:19::049,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:46:24::113,Temp Test,11.125,21.75,0.5625,10.625
2022/07/15/ 15:46:29::177,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:46:34::241,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:46:39::306,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:46:44::369,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:46:49::433,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:46:54::497,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:46:59::562,Temp Test,11.0625,21.6875,0.5625,10.625
2022/07/15/ 15:47:04::627,Temp Test,11.0625,21.625,0.625,10.5625
2022/07/15/ 15:47:09::691,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:47:14::755,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:47:19::819,Temp Test,11.0625,21.625,0.5625,10.5625
2022/07/15/ 15:47:24::883,Temp Test,11.0625,21.625,0.625,10.5625
2022/07/15/ 15:47:29::948,Temp Test,11.0625,21.625,0.625,10.5625
2022/07/15/ 15:47:35::011,Temp Test,11.0625,21.625,0.625,10.5625
2022/07/15/ 15:47:40::076,Temp Test,11.0625,21.625,0.625,10.5625
2022/07/15/ 15:47:45::139,Temp Test,11.0625,21.625,0.625,10.5625
2022/07/15/ 15:47:50::203,Temp Test,11.0625,21.625,0.6875,10.5625
2022/07/15/ 15:47:55::267,Temp Test,11.0625,21.625,0.625,10.5625
2022/07/15/ 15:48:00::331,Temp Test,11.0625,21.6875,0.625,10.625
2022/07/15/ 15:48:05::395,Temp Test,11.0625,21.625,0.625,10.5625
2022/07/15/ 15:48:10::459,Temp Test,11.0625,21.625,0.5625,10.5625
2022/07/15/ 15:48:15::522,Temp Test,11.125,21.625,0.625,10.5
2022/07/15/ 15:48:20::587,Temp Test,11.0625,21.625,0.625,10.5625
2022/07/15/ 15:48:25::651,Temp Test,11.125,21.625,0.625,10.5
2022/07/15/ 15:48:30::715,Temp Test,11.125,21.6875,0.625,10.5625
2022/07/15/ 15:48:35::780,Temp Test,11.125,21.625,0.6875,10.5
2022/07/15/ 15:48:40::844,Temp Test,11.1875,21.625,0.625,10.4375
2022/07/15/ 15:48:45::908,Temp Test,11.1875,21.625,0.625,10.4375
2022/07/15/ 15:48:50::972,Temp Test,11.125,21.625,0.6875,10.5
2022/07/15/ 15:48:56::036,Temp Test,11.1875,21.625,0.625,10.4375
2022/07/15/ 15:49:01::099,Temp Test,11.125,21.625,0.6875,10.5
2022/07/15/ 15:49:06::163,Temp Test,11.125,21.625,0.625,10.5
2022/07/15/ 15:49:11::228,Temp Test,11.125,21.625,0.6875,10.5
2022/07/15/ 15:49:16::292,Temp Test,11.125,21.625,0.6875,10.5
2022/07/15/ 15:49:21::356,Temp Test,11.125,21.625,0.6875,10.5
2022/07/15/ 15:49:26::420,Temp Test,11.125,21.625,0.6875,10.5
2022/07/15/ 15:49:31::484,Temp Test,11.125,21.5625,0.6875,10.4375
2022/07/15/ 15:49:36::548,Temp Test,11.125,21.5625,0.6875,10.4375
2022/07/15/ 15:49:41::612,Temp Test,11.1875,21.625,0.6875,10.4375
2022/07/15/ 15:49:46::675,Temp Test,11.125,21.625,0.625,10.5
2022/07/15/ 15:49:51::739,Temp Test,11.125,21.625,0.6875,10.5
2022/07/15/ 15:49:56::804,Temp Test,11.1875,21.625,0.75,10.4375
2022/07/15/ 15:50:01::868,Temp Test,11.1875,21.625,0.6875,10.4375
2022/07/15/ 15:50:06::934,Temp Test,11.1875,21.6875,0.75,10.5
2022/07/15/ 15:50:11::998,Temp Test,11.1875,21.625,0.6875,10.4375
2022/07/15/ 15:50:17::061,Temp Test,11.1875,21.6875,0.75,10.5
2022/07/15/ 15:50:22::131,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:50:27::189,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:50:32::253,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:50:37::319,Temp Test,11.25,21.6875,0.625,10.4375
2022/07/15/ 15:50:42::382,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:50:47::445,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:50:52::509,Temp Test,11.25,21.75,0.6875,10.5
2022/07/15/ 15:50:57::573,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:51:02::637,Temp Test,11.1875,21.6875,0.6875,10.5
2022/07/15/ 15:51:07::701,Temp Test,11.1875,21.75,0.6875,10.5625
2022/07/15/ 15:51:12::765,Temp Test,11.25,21.75,0.6875,10.5
2022/07/15/ 15:51:17::829,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:51:22::893,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:51:27::957,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:51:33::022,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:51:38::087,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:51:43::151,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:51:48::215,Temp Test,11.3125,21.6875,0.6875,10.375
2022/07/15/ 15:51:53::278,Temp Test,11.25,21.75,0.6875,10.5
2022/07/15/ 15:51:58::343,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:52:03::406,Temp Test,11.3125,21.75,0.75,10.4375
2022/07/15/ 15:52:08::470,Temp Test,11.25,21.75,0.75,10.5
2022/07/15/ 15:52:13::535,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:52:18::598,Temp Test,11.25,21.75,0.6875,10.5
2022/07/15/ 15:52:23::662,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:52:28::727,Temp Test,11.25,21.75,0.6875,10.5
2022/07/15/ 15:52:33::791,Temp Test,11.25,21.75,0.75,10.5
2022/07/15/ 15:52:38::854,Temp Test,11.25,21.75,0.6875,10.5
2022/07/15/ 15:52:43::918,Temp Test,11.25,21.75,0.6875,10.5
2022/07/15/ 15:52:48::983,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:52:54::046,Temp Test,11.25,21.6875,0.75,10.4375
2022/07/15/ 15:52:59::110,Temp Test,11.25,21.6875,0.75,10.4375
2022/07/15/ 15:53:04::175,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:53:09::239,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:53:14::305,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:53:19::369,Temp Test,11.3125,21.6875,0.75,10.375
2022/07/15/ 15:53:24::433,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:53:29::497,Temp Test,11.25,21.6875,0.6875,10.4375
2022/07/15/ 15:53:34::561,Temp Test,11.25,21.6875,0.6875,10.4375
