RX Date/Time,Mask Temp(field 1),Room Temp(field 2),Delta(field 3),Tank Temp(field 4)
2022/07/15/ 14:38:42::698,Temp Test,17.3125,22.4375,0.625,5.125
2022/07/15/ 14:38:47::761,Temp Test,17.125,22.5,0.625,5.375
2022/07/15/ 14:38:52::825,Temp Test,16.9375,22.5,0.625,5.5625
2022/07/15/ 14:38:57::890,Temp Test,16.75,22.5,0.625,5.75
2022/07/15/ 14:39:02::954,Temp Test,16.5625,22.5,0.625,5.9375
2022/07/15/ 14:39:08::018,Temp Test,16.375,22.4375,0.5625,6.0625
2022/07/15/ 14:39:13::082,Temp Test,16.25,22.4375,0.5625,6.1875
2022/07/15/ 14:39:18::146,Temp Test,16.0625,22.4375,0.5625,6.375
2022/07/15/ 14:39:23::210,Temp Test,15.9375,22.4375,0.5625,6.5
2022/07/15/ 14:39:28::274,Temp Test,15.8125,22.4375,0.5625,6.625
2022/07/15/ 14:39:33::337,Temp Test,15.6875,22.4375,0.5625,6.75
2022/07/15/ 14:39:38::402,Temp Test,15.5625,22.5,0.5625,6.9375
2022/07/15/ 14:39:43::466,Temp Test,15.4375,22.5,0.5,7.0625
2022/07/15/ 14:39:48::531,Temp Test,15.3125,22.4375,0.5,7.125
2022/07/15/ 14:39:53::595,Temp Test,15.1875,22.5,0.5,7.3125
2022/07/15/ 14:39:58::659,Temp Test,15.0625,22.5,0.5625,7.4375
2022/07/15/ 14:40:03::723,Temp Test,15.0,22.4375,0.5625,7.4375
2022/07/15/ 14:40:08::787,Temp Test,14.875,22.4375,0.4375,7.5625
2022/07/15/ 14:40:13::852,Temp Test,14.75,22.5,0.5,7.75
2022/07/15/ 14:40:18::920,Temp Test,14.625,22.4375,0.5,7.8125
2022/07/15/ 14:40:23::981,Temp Test,14.5625,22.4375,0.4375,7.875
2022/07/15/ 14:40:29::044,Temp Test,14.5,22.5,0.5,8.0
2022/07/15/ 14:40:34::109,Temp Test,14.375,22.4375,0.5,8.0625
2022/07/15/ 14:40:39::173,Temp Test,14.25,22.4375,0.5,8.1875
2022/07/15/ 14:40:44::237,Temp Test,14.1875,22.4375,0.5,8.25
2022/07/15/ 14:40:49::301,Temp Test,14.125,22.4375,0.4375,8.3125
2022/07/15/ 14:40:54::365,Temp Test,14.0,22.4375,0.5,8.4375
2022/07/15/ 14:40:59::429,Temp Test,13.9375,22.375,0.4375,8.4375
2022/07/15/ 14:41:04::493,Temp Test,13.875,22.4375,0.4375,8.5625
2022/07/15/ 14:41:09::557,Temp Test,13.75,22.4375,0.4375,8.6875
2022/07/15/ 14:41:14::621,Temp Test,13.6875,22.4375,0.4375,8.75
2022/07/15/ 14:41:19::686,Temp Test,13.625,22.4375,0.375,8.8125
2022/07/15/ 14:41:24::748,Temp Test,13.5625,22.4375,0.4375,8.875
2022/07/15/ 14:41:29::813,Temp Test,13.5,22.4375,0.4375,8.9375
2022/07/15/ 14:41:34::877,Temp Test,13.4375,22.4375,0.4375,9.0
2022/07/15/ 14:41:39::941,Temp Test,13.375,22.4375,0.375,9.0625
2022/07/15/ 14:41:45::007,Temp Test,13.3125,22.4375,0.4375,9.125
2022/07/15/ 14:41:50::070,Temp Test,13.25,22.4375,0.4375,9.1875
2022/07/15/ 14:41:55::134,Temp Test,13.1875,22.4375,0.375,9.25
2022/07/15/ 14:42:00::199,Temp Test,13.125,22.4375,0.4375,9.3125
2022/07/15/ 14:42:05::262,Temp Test,13.125,22.4375,0.375,9.3125
2022/07/15/ 14:42:10::326,Temp Test,13.0,22.4375,0.375,9.4375
2022/07/15/ 14:42:15::390,Temp Test,12.9375,22.4375,0.4375,9.5
2022/07/15/ 14:42:20::454,Temp Test,12.9375,22.4375,0.4375,9.5
2022/07/15/ 14:42:25::519,Temp Test,12.875,22.4375,0.375,9.5625
2022/07/15/ 14:42:30::582,Temp Test,12.8125,22.375,0.4375,9.5625
2022/07/15/ 14:42:35::646,Temp Test,12.75,22.4375,0.4375,9.6875
2022/07/15/ 14:42:40::710,Temp Test,12.75,22.375,0.375,9.625
2022/07/15/ 14:42:45::774,Temp Test,12.625,22.4375,0.375,9.8125
2022/07/15/ 14:42:50::837,Temp Test,12.625,22.375,0.375,9.75
2022/07/15/ 14:42:55::902,Temp Test,12.625,22.375,0.375,9.75
2022/07/15/ 14:43:00::966,Temp Test,12.5625,22.4375,0.375,9.875
2022/07/15/ 14:43:06::030,Temp Test,12.5625,22.375,0.4375,9.8125
2022/07/15/ 14:43:11::094,Temp Test,12.5,22.4375,0.4375,9.9375
2022/07/15/ 14:43:16::158,Temp Test,12.4375,22.375,0.375,9.9375
2022/07/15/ 14:43:21::224,Temp Test,12.4375,22.375,0.4375,9.9375
2022/07/15/ 14:43:26::287,Temp Test,12.4375,22.375,0.375,9.9375
2022/07/15/ 14:43:31::351,Temp Test,12.375,22.375,0.375,10.0
2022/07/15/ 14:43:36::417,Temp Test,12.375,22.375,0.4375,10.0
2022/07/15/ 14:43:41::480,Temp Test,12.3125,22.375,0.375,10.0625
2022/07/15/ 14:43:46::543,Temp Test,12.25,22.375,0.375,10.125
2022/07/15/ 14:43:51::607,Temp Test,12.25,22.375,0.375,10.125
2022/07/15/ 14:43:56::672,Temp Test,12.1875,22.375,0.4375,10.1875
2022/07/15/ 14:44:01::736,Temp Test,12.1875,22.375,0.375,10.1875
2022/07/15/ 14:44:06::800,Temp Test,12.1875,22.375,0.375,10.1875
2022/07/15/ 14:44:11::864,Temp Test,12.125,22.375,0.375,10.25
2022/07/15/ 14:44:16::928,Temp Test,12.125,22.375,0.4375,10.25
2022/07/15/ 14:44:21::992,Temp Test,12.0625,22.375,0.3125,10.3125
2022/07/15/ 14:44:27::056,Temp Test,12.125,22.375,0.375,10.25
2022/07/15/ 14:44:32::132,Temp Test,12.0625,22.375,0.375,10.3125
2022/07/15/ 14:44:37::184,Temp Test,12.0625,22.375,0.375,10.3125
2022/07/15/ 14:44:42::248,Temp Test,12.0,22.375,0.375,10.375
2022/07/15/ 14:44:47::312,Temp Test,12.0,22.375,0.375,10.375
2022/07/15/ 14:44:52::378,Temp Test,12.0,22.375,0.4375,10.375
2022/07/15/ 14:44:57::442,Temp Test,11.9375,22.375,0.375,10.4375
2022/07/15/ 14:45:02::506,Temp Test,11.9375,22.375,0.4375,10.4375
2022/07/15/ 14:45:07::569,Temp Test,11.875,22.375,0.375,10.5
2022/07/15/ 14:45:12::633,Temp Test,11.875,22.375,0.4375,10.5
2022/07/15/ 14:45:17::697,Temp Test,11.875,22.375,0.3125,10.5
2022/07/15/ 14:45:22::761,Temp Test,11.875,22.375,0.4375,10.5
2022/07/15/ 14:45:27::825,Temp Test,11.8125,22.375,0.4375,10.5625
2022/07/15/ 14:45:32::889,Temp Test,11.8125,22.375,0.4375,10.5625
2022/07/15/ 14:45:37::954,Temp Test,11.8125,22.375,0.375,10.5625
2022/07/15/ 14:45:43::018,Temp Test,11.75,22.375,0.4375,10.625
2022/07/15/ 14:45:48::082,Temp Test,11.75,22.375,0.4375,10.625
2022/07/15/ 14:45:53::146,Temp Test,11.8125,22.375,0.4375,10.5625
2022/07/15/ 14:45:58::209,Temp Test,11.75,22.375,0.4375,10.625
2022/07/15/ 14:46:03::273,Temp Test,11.75,22.375,0.4375,10.625
2022/07/15/ 14:46:08::338,Temp Test,11.6875,22.375,0.4375,10.6875
2022/07/15/ 14:46:13::401,Temp Test,11.75,22.375,0.4375,10.625
2022/07/15/ 14:46:18::465,Temp Test,11.75,22.375,0.375,10.625
2022/07/15/ 14:46:23::532,Temp Test,11.6875,22.375,0.4375,10.6875
2022/07/15/ 14:46:28::596,Temp Test,11.6875,22.375,0.4375,10.6875
2022/07/15/ 14:46:33::660,Temp Test,11.6875,22.375,0.4375,10.6875
